Playlist Health Check Report
Generated: 2026-07-24 02:48 UTC

--- Details ---

[SKIP] ---LAST UPDATE 23-07-2026 H. 07.26--- | Placeholder
[SKIP] === Canali RAI=== | Placeholder
[OK] RAI 1 | OK | EPG MISSING
[OK] RAI 1 | OK | EPG MISSING
[DOWN] RAI 1 | DOWN | EPG MISSING
[DOWN] RAI 1 | DOWN | EPG MISSING
[DOWN] RAI 1 (mx player)-ott | DOWN | EPG MISSING
[OK] RAI 2 | OK | EPG MISSING
[OK] RAI 2 | OK | EPG MISSING
[DOWN] RAI 2 (link 2) | DOWN | EPG MISSING
[DOWN] RAI 2 | DOWN | EPG MISSING
[OK] RAI 3 | OK | EPG MISSING
[OK] RAI 3 | OK | EPG MISSING
[DOWN] RAI 3 (link 2) | DOWN | EPG MISSING
[OK] RAI 4 | OK | EPG MISSING
[OK] RAI 4 | OK | EPG MISSING
[OK] RAI 4K | OK | EPG MISSING
[OK] RAI 4K | OK | EPG MISSING
[OK] RAI 5 | OK | EPG MISSING
[DOWN] RAI 5 | DOWN | EPG MISSING
[DOWN] RAI Italia Africa | DOWN | EPG MISSING
[DOWN] RAI Italia Americas | DOWN | EPG MISSING
[DOWN] RAI Italia Australia | DOWN | EPG MISSING
[OK] RAI Movie | OK | EPG MISSING
[DOWN] RAI News 24 | DOWN | EPG MISSING
[OK] Rai Premium | OK | EPG MISSING
[DOWN] Rai Premium (1080p) | DOWN | EPG MISSING
[OK] RAI Radio 2 | OK | EPG MISSING
[DOWN] RAI Scuola | DOWN | EPG MISSING
[OK] RAI Scuola | OK | EPG MISSING
[DOWN] RAI Scuola | DOWN | EPG MISSING
[DOWN] Rai Sport | DOWN | EPG MISSING
[DOWN] Rai Sport | DOWN | EPG MISSING
[OK] Rai Sport + HD | OK | EPG MISSING
[OK] RAI Storia | OK | EPG MISSING
[DOWN] RAI Storia | DOWN | EPG MISSING
[DOWN] RAI Storia (1080p) | DOWN | EPG MISSING
[DOWN] RAI Sudtirol | DOWN | EPG MISSING
[DOWN] Rai World Premium | DOWN | EPG MISSING
[OK] RaiPlay 3 | OK | EPG MISSING
[DOWN] Camera dei Deputati (1080p) | DOWN | EPG MISSING
[DOWN] Uninettuno (1080p) | DOWN | EPG MISSING
[OK] Rai News | OK | EPG MISSING
[OK] RAI Gulp | OK | EPG MISSING
[DOWN] RAI Gulp | DOWN | EPG MISSING
[DOWN] RAI Gulp | DOWN | EPG MISSING
[DOWN] RAI Yoyo | DOWN | EPG MISSING
[OK] RAI Yoyo | OK | EPG MISSING
[SKIP] === Canali Mediaset === | Placeholder
[OK] Rete 4 | OK | EPG MISSING
[OK] Rete 4 | OK | EPG MISSING
[DOWN] Rete 4 HD | DOWN | EPG MISSING
[OK] Canale 5 | OK | EPG MISSING
[OK] Canale 5 | OK | EPG MISSING
[DOWN] Canale 5 HD | DOWN | EPG MISSING
[OK] Italia 1 | OK | EPG MISSING
[OK] Italia 1 | OK | EPG MISSING
[DOWN] Italia 1  HD | DOWN | EPG MISSING
[OK] 20 Mediaset | OK | EPG MISSING
[OK] 27 Twentyseven | OK | EPG MISSING
[OK] Cine 34 | OK | EPG MISSING
[OK] Cine 34 | OK | EPG MISSING
[OK] Focus | OK | EPG MISSING
[OK] Focus | OK | EPG MISSING
[OK] Iris | OK | EPG MISSING
[OK] Iris | OK | EPG MISSING
[OK] Italia 2 news | OK | EPG MISSING
[OK] Italia 2 | OK | EPG MISSING
[OK] Italia 2  TV | OK | EPG MISSING
[OK] La 5 | OK | EPG MISSING
[OK] La 5 | OK | EPG MISSING
[OK] Mediaset Extra | OK | EPG MISSING
[OK] Mediaset Extra | OK | EPG MISSING
[OK] Top Crime | OK | EPG MISSING
[OK] Top Crime | OK | EPG MISSING
[OK] TGCOM 24 | OK | EPG MISSING
[OK] TGCOM 24 | OK | EPG MISSING
[OK] Boing | OK | EPG MISSING
[OK] Boing | OK | EPG MISSING
[SKIP] Boing Plus | Known issue
[OK] Cartoonito | OK | EPG MISSING
[DOWN] Mediaset Italia Us | DOWN | EPG MISSING
[OK]  Rai 3 TGR Valle d'Aosta | OK | EPG MISSING
